movieId,title,year,genres,imdb_rating,imdb_votes,mood,rotten_tomatoes,mood_reason
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,8.3,1198795,Comfort Movie,,
2,Jumanji,1995,Adventure|Children|Fantasy,7.1,419506,Comfort Movie,,
3,Grumpier Old Men,1995,Comedy|Romance,6.7,31967,Date Night,,
4,Waiting to Exhale,1995,Comedy|Drama|Romance,6.1,14177,Date Night,,
5,Father of the Bride Part II,1995,Comedy,6.1,45943,Comfort Movie,,
6,Heat,1995,Action|Crime|Thriller,8.3,818429,Adrenaline,,
7,Sabrina,1995,Comedy|Romance,6.4,47939,Date Night,,
8,Tom and Huck,1995,Adventure|Children,5.5,12621,Comfort Movie,,
9,Sudden Death,1995,Action,5.9,40056,Friday Light,,
10,GoldenEye,1995,Action|Adventure|Thriller,7.2,288778,Adrenaline,,
11,"American President, The",1995,Comedy|Drama|Romance,,,Date Night,,
12,Dracula: Dead and Loving It,1995,Comedy|Horror,5.9,49392,Adrenaline,,
13,Balto,1995,Adventure|Animation|Children,7.1,52478,Comfort Movie,,
14,Nixon,1995,Drama,7.0,34851,Heavy Sunday,,
15,Cutthroat Island,1995,Action|Adventure|Romance,5.7,33555,Date Night,,
16,Casino,1995,Crime|Drama,8.2,628022,Adrenaline,,
17,Sense and Sensibility,1995,Drama|Romance,7.7,137947,Date Night,,
18,Four Rooms,1995,Comedy,6.7,117597,Comfort Movie,,
19,Ace Ventura: When Nature Calls,1995,Comedy,6.4,251567,Comfort Movie,,
20,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,5.7,45699,Adrenaline,,
21,Get Shorty,1995,Comedy|Crime|Thriller,6.9,97072,Adrenaline,,
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,6.6,87878,Adrenaline,,
23,Assassins,1995,Action|Crime|Thriller,6.3,93110,Adrenaline,,
24,Powder,1995,Drama|Sci-Fi,6.6,35417,Heavy Sunday,,
25,Leaving Las Vegas,1995,Drama|Romance,7.5,146948,Date Night,,
26,Othello,1995,Drama,6.8,10685,Heavy Sunday,,
27,Now and Then,1995,Children|Drama,6.8,35295,Comfort Movie,,
28,Persuasion,1995,Drama|Romance,7.6,12886,Date Night,,
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,,,Heavy Sunday,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,,,Adrenaline,,
31,Dangerous Minds,1995,Drama,6.5,61833,Heavy Sunday,,
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,,,Adrenaline,,
34,Babe,1995,Children|Drama,6.9,143920,Comfort Movie,,
35,Carrington,1995,Drama|Romance,6.8,6221,Date Night,,
36,Dead Man Walking,1995,Crime|Drama,7.5,109503,Adrenaline,,
37,Across the Sea of Time,1995,Documentary|IMAX,6.3,326,Heavy Sunday,,
38,It Takes Two,1995,Children|Comedy,6.1,29111,Comfort Movie,,
39,Clueless,1995,Comedy|Romance,6.9,282328,Date Night,,
40,"Cry, the Beloved Country",1995,Drama,6.8,2189,Heavy Sunday,,
41,Richard III,1995,Drama|War,7.3,16474,Adrenaline,,
42,Dead Presidents,1995,Action|Crime|Drama,6.9,27080,Adrenaline,,
43,Restoration,1995,Drama,6.6,10476,Heavy Sunday,,
44,Mortal Kombat,1995,Action|Adventure|Fantasy,5.9,136449,Friday Light,,
45,To Die For,1995,Comedy|Drama|Thriller,6.8,61067,Adrenaline,,
46,How to Make an American Quilt,1995,Drama|Romance,6.3,13228,Date Night,,
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller,,,Adrenaline,,
48,Pocahontas,1995,Animation|Children|Drama|Musical|Romance,6.7,220089,Date Night,,
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller,,,Adrenaline,,
52,Mighty Aphrodite,1995,Comedy|Drama|Romance,7.0,45288,Date Night,,
54,"Big Green, The",1995,Children|Comedy,,,Comfort Movie,,
55,Georgia,1995,Drama,6.5,3484,Heavy Sunday,,
57,Home for the Holidays,1995,Drama,6.6,16328,Heavy Sunday,,
58,"Postman, The (Postino, Il)",1994,Comedy|Drama|Romance,,,Date Night,,
59,"Confessional, The (Confessionnal, Le)",1995,Drama|Mystery,,,Heavy Sunday,,
60,"Indian in the Cupboard, The",1995,Adventure|Children|Fantasy,,,Comfort Movie,,
61,Eye for an Eye,1996,Drama|Thriller,6.2,22233,Adrenaline,,
62,Mr. Holland's Opus,1995,Drama,7.4,44546,Heavy Sunday,,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,6.6,68111,Adrenaline,,
64,Two if by Sea,1996,Comedy|Romance,5.3,6911,Date Night,,
65,Bio-Dome,1996,Comedy,4.5,31978,Comfort Movie,,
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller,,,Adrenaline,,
67,Two Bits,1995,Drama,6.1,3860,Heavy Sunday,,
68,French Twist (Gazon maudit),1995,Comedy|Romance,,,Date Night,,
69,Friday,1995,Comedy,7.2,138955,Comfort Movie,,
70,From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller,7.2,374274,Adrenaline,,
71,Fair Game,1995,Action,4.4,14828,Friday Light,,
72,Kicking and Screaming,1995,Comedy|Drama,6.6,16151,Comfort Movie,,
73,"Misérables, Les",1995,Drama|War,,,Adrenaline,,
74,Bed of Roses,1996,Drama|Romance,6.1,9262,Date Night,,
75,Big Bully,1996,Comedy|Drama,4.8,5918,Comfort Movie,,
76,Screamers,1995,Action|Sci-Fi|Thriller,6.3,32062,Adrenaline,,
78,"Crossing Guard, The",1995,Action|Crime|Drama|Thriller,,,Adrenaline,,
79,"Juror, The",1996,Drama|Thriller,,,Adrenaline,,
80,"White Balloon, The (Badkonake sefid)",1995,Children|Drama,,,Comfort Movie,,
81,Things to Do in Denver When You're Dead,1995,Crime|Drama|Romance,6.7,32253,Adrenaline,,
82,Antonia's Line (Antonia),1995,Comedy|Drama,,,Comfort Movie,,
83,Once Upon a Time... When We Were Colored,1995,Drama|Romance,7.4,614,Date Night,,
85,Angels and Insects,1995,Drama|Romance,6.8,5126,Date Night,,
86,White Squall,1996,Action|Adventure|Drama,6.6,26306,Heavy Sunday,,
87,Dunston Checks In,1996,Children|Comedy,5.4,14308,Comfort Movie,,
88,Black Sheep,1996,Comedy,6.2,46417,Comfort Movie,,
89,Nick of Time,1995,Action|Thriller,6.3,47944,Adrenaline,,
92,Mary Reilly,1996,Drama|Horror|Thriller,5.8,16694,Adrenaline,,
93,Vampire in Brooklyn,1995,Comedy|Horror|Romance,4.7,27114,Adrenaline,,
94,Beautiful Girls,1996,Comedy|Drama|Romance,7.1,36540,Date Night,,
95,Broken Arrow,1996,Action|Adventure|Thriller,6.1,111393,Adrenaline,,
96,In the Bleak Midwinter,1995,Comedy|Drama,7.2,2908,Comfort Movie,,
97,"Hate (Haine, La)",1995,Crime|Drama,,,Adrenaline,,
99,Heidi Fleiss: Hollywood Madam,1995,Documentary,6.6,796,Heavy Sunday,,
100,City Hall,1996,Drama|Thriller,6.2,24529,Adrenaline,,
101,Bottle Rocket,1996,Adventure|Comedy|Crime|Romance,6.9,89082,Adrenaline,,
102,Mr. Wrong,1996,Comedy,3.9,5554,Comfort Movie,,
103,Unforgettable,1996,Mystery|Sci-Fi|Thriller,6.0,6493,Adrenaline,,
104,Happy Gilmore,1996,Comedy,7.0,312357,Comfort Movie,,
105,"Bridges of Madison County, The",1995,Drama|Romance,,,Date Night,,
106,Nobody Loves Me (Keiner liebt mich),1994,Comedy|Drama,,,Comfort Movie,,
107,Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical,7.0,30413,Comfort Movie,,
110,Braveheart,1995,Action|Drama|War,8.3,1172247,Adrenaline,,
111,Taxi Driver,1976,Crime|Drama|Thriller,8.2,1042047,Adrenaline,,
112,Rumble in the Bronx (Hont faan kui),1995,Action|Adventure|Comedy|Crime,,,Adrenaline,,
113,Before and After,1996,Drama|Mystery,6.1,11567,Heavy Sunday,,
114,Margaret's Museum,1995,Drama,7.2,1451,Heavy Sunday,,
116,Anne Frank Remembered,1995,Documentary,8.1,1483,Heavy Sunday,,
117,"Young Poisoner's Handbook, The",1995,Crime|Drama,,,Adrenaline,,
118,If Lucy Fell,1996,Comedy|Romance,4.9,4352,Date Night,,
119,"Steal Big, Steal Little",1995,Comedy,4.7,1132,Comfort Movie,,
120,Race the Sun,1996,Adventure|Comedy|Drama,5.4,3618,Comfort Movie,,
121,"Boys of St. Vincent, The",1992,Drama,,,Heavy Sunday,,
122,Boomerang,1992,Comedy|Romance,5.7,32872,Date Night,,
123,Chungking Express (Chung Hing sam lam),1994,Drama|Mystery|Romance,,,Date Night,,
124,"Star Maker, The (Uomo delle stelle, L')",1995,Drama,,,Heavy Sunday,,
125,Flirting With Disaster,1996,Comedy,6.7,21170,Comfort Movie,,
126,"NeverEnding Story III, The",1994,Adventure|Children|Fantasy,,,Comfort Movie,,
128,Jupiter's Wife,1994,Documentary,,,Heavy Sunday,,
129,Pie in the Sky,1996,Comedy|Romance,,,Date Night,,
130,Angela,1995,Drama,6.3,1219,Heavy Sunday,,
132,Jade,1995,Thriller,5.4,15735,Adrenaline,,
